fold_id,role,episode_index,heldout_task_id,heldout_task_index
loco_v1_fold_01_task_00,train,5,0,0
loco_v1_fold_01_task_00,train,6,0,0
loco_v1_fold_01_task_00,train,7,0,0
loco_v1_fold_01_task_00,train,8,0,0
loco_v1_fold_01_task_00,train,9,0,0
loco_v1_fold_01_task_00,train,10,0,0
loco_v1_fold_01_task_00,train,11,0,0
loco_v1_fold_01_task_00,train,12,0,0
loco_v1_fold_01_task_00,train,13,0,0
loco_v1_fold_01_task_00,train,14,0,0
loco_v1_fold_01_task_00,train,15,0,0
loco_v1_fold_01_task_00,train,16,0,0
loco_v1_fold_01_task_00,train,17,0,0
loco_v1_fold_01_task_00,train,18,0,0
loco_v1_fold_01_task_00,train,19,0,0
loco_v1_fold_01_task_00,train,20,0,0
loco_v1_fold_01_task_00,train,21,0,0
loco_v1_fold_01_task_00,train,22,0,0
loco_v1_fold_01_task_00,train,23,0,0
loco_v1_fold_01_task_00,train,24,0,0
loco_v1_fold_01_task_00,train,25,0,0
loco_v1_fold_01_task_00,train,26,0,0
loco_v1_fold_01_task_00,train,27,0,0
loco_v1_fold_01_task_00,train,28,0,0
loco_v1_fold_01_task_00,train,29,0,0
loco_v1_fold_01_task_00,train,30,0,0
loco_v1_fold_01_task_00,train,31,0,0
loco_v1_fold_01_task_00,train,32,0,0
loco_v1_fold_01_task_00,train,33,0,0
loco_v1_fold_01_task_00,train,34,0,0
loco_v1_fold_01_task_00,train,35,0,0
loco_v1_fold_01_task_00,train,36,0,0
loco_v1_fold_01_task_00,train,37,0,0
loco_v1_fold_01_task_00,train,38,0,0
loco_v1_fold_01_task_00,train,39,0,0
loco_v1_fold_01_task_00,train,40,0,0
loco_v1_fold_01_task_00,train,41,0,0
loco_v1_fold_01_task_00,train,42,0,0
loco_v1_fold_01_task_00,train,43,0,0
loco_v1_fold_01_task_00,train,44,0,0
loco_v1_fold_01_task_00,train,45,0,0
loco_v1_fold_01_task_00,train,46,0,0
loco_v1_fold_01_task_00,train,47,0,0
loco_v1_fold_01_task_00,train,48,0,0
loco_v1_fold_01_task_00,train,49,0,0
loco_v1_fold_01_task_00,train,50,0,0
loco_v1_fold_01_task_00,train,51,0,0
loco_v1_fold_01_task_00,train,52,0,0
loco_v1_fold_01_task_00,train,53,0,0
loco_v1_fold_01_task_00,train,54,0,0
loco_v1_fold_01_task_00,train,55,0,0
loco_v1_fold_01_task_00,train,56,0,0
loco_v1_fold_01_task_00,train,57,0,0
loco_v1_fold_01_task_00,train,58,0,0
loco_v1_fold_01_task_00,train,59,0,0
loco_v1_fold_01_task_00,train,60,0,0
loco_v1_fold_01_task_00,train,61,0,0
loco_v1_fold_01_task_00,train,62,0,0
loco_v1_fold_01_task_00,train,63,0,0
loco_v1_fold_01_task_00,train,64,0,0
loco_v1_fold_01_task_00,train,65,0,0
loco_v1_fold_01_task_00,train,66,0,0
loco_v1_fold_01_task_00,train,67,0,0
loco_v1_fold_01_task_00,train,68,0,0
loco_v1_fold_01_task_00,train,69,0,0
loco_v1_fold_01_task_00,train,70,0,0
loco_v1_fold_01_task_00,train,71,0,0
loco_v1_fold_01_task_00,train,72,0,0
loco_v1_fold_01_task_00,train,73,0,0
loco_v1_fold_01_task_00,train,74,0,0
loco_v1_fold_01_task_00,train,75,0,0
loco_v1_fold_01_task_00,train,76,0,0
loco_v1_fold_01_task_00,train,77,0,0
loco_v1_fold_01_task_00,train,78,0,0
loco_v1_fold_01_task_00,train,79,0,0
loco_v1_fold_01_task_00,train,80,0,0
loco_v1_fold_01_task_00,train,81,0,0
loco_v1_fold_01_task_00,train,82,0,0
loco_v1_fold_01_task_00,train,83,0,0
loco_v1_fold_01_task_00,train,84,0,0
loco_v1_fold_01_task_00,train,85,0,0
loco_v1_fold_01_task_00,train,86,0,0
loco_v1_fold_01_task_00,train,87,0,0
loco_v1_fold_01_task_00,train,88,0,0
loco_v1_fold_01_task_00,train,89,0,0
loco_v1_fold_01_task_00,train,90,0,0
loco_v1_fold_01_task_00,train,91,0,0
loco_v1_fold_01_task_00,train,92,0,0
loco_v1_fold_01_task_00,train,93,0,0
loco_v1_fold_01_task_00,train,94,0,0
loco_v1_fold_01_task_00,train,95,0,0
loco_v1_fold_01_task_00,train,96,0,0
loco_v1_fold_01_task_00,train,97,0,0
loco_v1_fold_01_task_00,train,98,0,0
loco_v1_fold_01_task_00,train,99,0,0
loco_v1_fold_01_task_00,train,100,0,0
loco_v1_fold_01_task_00,train,101,0,0
loco_v1_fold_01_task_00,train,102,0,0
loco_v1_fold_01_task_00,train,103,0,0
loco_v1_fold_01_task_00,train,104,0,0
loco_v1_fold_01_task_00,train,105,0,0
loco_v1_fold_01_task_00,train,106,0,0
loco_v1_fold_01_task_00,train,107,0,0
loco_v1_fold_01_task_00,train,108,0,0
loco_v1_fold_01_task_00,train,109,0,0
loco_v1_fold_01_task_00,train,110,0,0
loco_v1_fold_01_task_00,train,111,0,0
loco_v1_fold_01_task_00,train,112,0,0
loco_v1_fold_01_task_00,train,113,0,0
loco_v1_fold_01_task_00,train,114,0,0
loco_v1_fold_01_task_00,train,115,0,0
loco_v1_fold_01_task_00,train,116,0,0
loco_v1_fold_01_task_00,train,117,0,0
loco_v1_fold_01_task_00,train,118,0,0
loco_v1_fold_01_task_00,train,119,0,0
loco_v1_fold_01_task_00,train,120,0,0
loco_v1_fold_01_task_00,train,121,0,0
loco_v1_fold_01_task_00,train,122,0,0
loco_v1_fold_01_task_00,train,123,0,0
loco_v1_fold_01_task_00,train,124,0,0
loco_v1_fold_01_task_00,train,125,0,0
loco_v1_fold_01_task_00,train,126,0,0
loco_v1_fold_01_task_00,train,127,0,0
loco_v1_fold_01_task_00,train,128,0,0
loco_v1_fold_01_task_00,train,129,0,0
loco_v1_fold_01_task_00,train,130,0,0
loco_v1_fold_01_task_00,train,131,0,0
loco_v1_fold_01_task_00,train,132,0,0
loco_v1_fold_01_task_00,train,133,0,0
loco_v1_fold_01_task_00,train,134,0,0
loco_v1_fold_01_task_00,train,135,0,0
loco_v1_fold_01_task_00,train,136,0,0
loco_v1_fold_01_task_00,train,137,0,0
loco_v1_fold_01_task_00,train,138,0,0
loco_v1_fold_01_task_00,train,139,0,0
loco_v1_fold_01_task_00,train,140,0,0
loco_v1_fold_01_task_00,train,141,0,0
loco_v1_fold_01_task_00,train,142,0,0
loco_v1_fold_01_task_00,train,143,0,0
loco_v1_fold_01_task_00,train,144,0,0
loco_v1_fold_01_task_00,train,145,0,0
loco_v1_fold_01_task_00,train,146,0,0
loco_v1_fold_01_task_00,train,147,0,0
loco_v1_fold_01_task_00,train,148,0,0
loco_v1_fold_01_task_00,train,149,0,0
loco_v1_fold_01_task_00,train,150,0,0
loco_v1_fold_01_task_00,train,151,0,0
loco_v1_fold_01_task_00,train,152,0,0
loco_v1_fold_01_task_00,train,153,0,0
loco_v1_fold_01_task_00,train,154,0,0
loco_v1_fold_01_task_00,train,155,0,0
loco_v1_fold_01_task_00,train,156,0,0
loco_v1_fold_01_task_00,train,157,0,0
loco_v1_fold_01_task_00,train,158,0,0
loco_v1_fold_01_task_00,train,159,0,0
loco_v1_fold_01_task_00,heldout,0,0,0
loco_v1_fold_01_task_00,heldout,1,0,0
loco_v1_fold_01_task_00,heldout,2,0,0
loco_v1_fold_01_task_00,heldout,3,0,0
loco_v1_fold_01_task_00,heldout,4,0,0
loco_v1_fold_02_task_04,train,0,4,4
loco_v1_fold_02_task_04,train,1,4,4
loco_v1_fold_02_task_04,train,2,4,4
loco_v1_fold_02_task_04,train,3,4,4
loco_v1_fold_02_task_04,train,4,4,4
loco_v1_fold_02_task_04,train,5,4,4
loco_v1_fold_02_task_04,train,6,4,4
loco_v1_fold_02_task_04,train,7,4,4
loco_v1_fold_02_task_04,train,8,4,4
loco_v1_fold_02_task_04,train,9,4,4
loco_v1_fold_02_task_04,train,10,4,4
loco_v1_fold_02_task_04,train,11,4,4
loco_v1_fold_02_task_04,train,12,4,4
loco_v1_fold_02_task_04,train,13,4,4
loco_v1_fold_02_task_04,train,14,4,4
loco_v1_fold_02_task_04,train,15,4,4
loco_v1_fold_02_task_04,train,16,4,4
loco_v1_fold_02_task_04,train,17,4,4
loco_v1_fold_02_task_04,train,18,4,4
loco_v1_fold_02_task_04,train,19,4,4
loco_v1_fold_02_task_04,train,25,4,4
loco_v1_fold_02_task_04,train,26,4,4
loco_v1_fold_02_task_04,train,27,4,4
loco_v1_fold_02_task_04,train,28,4,4
loco_v1_fold_02_task_04,train,29,4,4
loco_v1_fold_02_task_04,train,30,4,4
