task_id,init_index,stratum,seen_model,heldout_model,selection_seed,diagnostic_only
3,24,both_failure,task6_holdout,task3_holdout,20260719,True
3,27,both_failure,task6_holdout,task3_holdout,20260719,True
3,34,both_failure,task6_holdout,task3_holdout,20260719,True
3,35,both_failure,task6_holdout,task3_holdout,20260719,True
3,47,both_failure,task6_holdout,task3_holdout,20260719,True
3,16,seen_success_heldout_failure,task6_holdout,task3_holdout,20260719,True
3,33,seen_success_heldout_failure,task6_holdout,task3_holdout,20260719,True
3,36,seen_success_heldout_failure,task6_holdout,task3_holdout,20260719,True
3,40,seen_success_heldout_failure,task6_holdout,task3_holdout,20260719,True
3,43,seen_success_heldout_failure,task6_holdout,task3_holdout,20260719,True
6,5,both_failure,task3_holdout,task6_holdout,20260722,True
6,18,both_failure,task3_holdout,task6_holdout,20260722,True
6,19,both_failure,task3_holdout,task6_holdout,20260722,True
6,25,both_failure,task3_holdout,task6_holdout,20260722,True
6,34,both_failure,task3_holdout,task6_holdout,20260722,True
6,9,seen_success_heldout_failure,task3_holdout,task6_holdout,20260722,True
6,36,seen_success_heldout_failure,task3_holdout,task6_holdout,20260722,True
6,38,seen_success_heldout_failure,task3_holdout,task6_holdout,20260722,True
6,46,seen_success_heldout_failure,task3_holdout,task6_holdout,20260722,True
6,47,seen_success_heldout_failure,task3_holdout,task6_holdout,20260722,True
