init_source,init_index,state_label,bowl_key,ramekin_key,settle_steps_executed,done_after_settle,contact_initial,contact_step1,contact_settled,on_initial,on_step1,on_settled,initial_bowl_ramekin_xy_m,step1_bowl_ramekin_xy_m,settled_bowl_ramekin_xy_m,initial_bowl_above_ramekin_m,step1_bowl_above_ramekin_m,settled_bowl_above_ramekin_m,bowl_xy_move_step1_m,bowl_xyz_move_step1_m,bowl_xy_move_settled_m,bowl_xyz_move_settled_m,ramekin_xy_move_step1_m,ramekin_xy_move_settled_m,relative_xy_change_step1_m,relative_z_change_step1_m,relative_xy_change_settled_m,relative_z_change_settled_m,relative_xy_change_step1_to_settled_m,relative_z_change_step1_to_settled_m,agentview_mse_step1,agentview_mse_settled,wrist_mse_step1,wrist_mse_settled,unstable_step1,unstable_settled,initial_bowl_x_m,initial_bowl_y_m,initial_bowl_z_m,initial_ramekin_x_m,initial_ramekin_y_m,initial_ramekin_z_m,step1_bowl_x_m,step1_bowl_y_m,step1_bowl_z_m,step1_ramekin_x_m,step1_ramekin_y_m,step1_ramekin_z_m,settled_bowl_x_m,settled_bowl_y_m,settled_bowl_z_m,settled_ramekin_x_m,settled_ramekin_y_m,settled_ramekin_z_m
hdf5,0,demo_0,akita_black_bowl_1,glazed_rim_porcelain_ramekin_1,10,False,False,True,True,False,True,True,0.011456092379764532,0.01339719670815622,0.013198022613293482,0.05389836888168964,0.04430845013544593,0.03402089825577592,0.002477601118439616,0.009731469621666808,0.0030093997136723615,0.01996062199738715,1.588036643624001e-06,1.5016739981068313e-05,0.0024776643734659336,-0.009589918746243709,0.0029985783048066183,-0.019877470625913718,0.001009609004851266,-0.01028755187967001,0.0005634789704345167,0.0010675805388018489,0.005710393190383911,0.016295121982693672,True,True,-0.2174529565331339,0.20066078258248993,0.9530954330504452,-0.2061899805744845,0.2027554007263493,0.8991970641687556,-0.2195642436969559,0.20195730632464573,0.9436846417077721,-0.2061907574721958,0.2027540157027655,0.8993761915723262,-0.2194014671893863,0.2029542064114239,0.9333629739060323,-0.20620491901164043,0.20275693225336433,0.8993420756502564
hdf5,1,demo_1,akita_black_bowl_1,glazed_rim_porcelain_ramekin_1,10,False,False,True,True,False,True,True,0.011456092379737125,0.01339719670812404,0.013198022613283766,0.05389836888163879,0.04430845013540263,0.0340208982557465,0.002477601118440103,0.009731469621654587,0.003009399713664162,0.01996062199736473,1.588036643699573e-06,1.5016739980954343e-05,0.0024776643734664124,-0.009589918746236159,0.0029985783047986295,-0.01987747062589229,0.001009609004814446,-0.010287551879656132,0.0006155272130854428,0.0014387033879756927,0.0052298810333013535,0.01584211178123951,True,True,-0.215114581440226,0.19473267837749395,0.9530954330503943,-0.203851605481598,0.19682729652131847,0.8991970641687556,-0.2172258686040401,0.19602920211966351,0.943684641707734,-0.20385238237930936,0.19682591149773462,0.8993761915723314,-0.21706309209648977,0.19702610220640748,0.9333629739060029,-0.20386654391875383,0.1968288280483332,0.8993420756502564
hdf5,2,demo_2,akita_black_bowl_1,glazed_rim_porcelain_ramekin_1,10,False,False,True,True,False,True,True,0.011456092379791675,0.01339719670818923,0.013198022613317765,0.05389836888178867,0.044308450135547406,0.03402089825582122,0.0024776011184467757,0.009731469621673462,0.0030093997136759476,0.01996062199744103,1.5880366434864361e-06,1.501673998090548e-05,0.0024776643734731054,-0.009589918746241266,0.00299857830481031,-0.019877470625967453,0.0010096090048561605,-0.010287551879726187,0.0005192420794628561,0.0011505057336762547,0.004307622089982033,0.014294229447841644,True,True,-0.21022595165901545,0.20320634078592792,0.9530954330505444,-0.19896297570033997,0.20530095892979544,0.8991970641687558,-0.21233723882284403,0.2045028645280867,0.9436846417078664,-0.19896375259805119,0.20529957390621176,0.899376191572319,-0.2121744623152659,0.20549976461486824,0.9333629739060776,-0.19897791413749571,0.2053024904568105,0.8993420756502564
hdf5,3,demo_3,akita_black_bowl_1,glazed_rim_porcelain_ramekin_1,10,False,False,True,True,False,True,True,0.011456092379765881,0.013397196708155486,0.013198022613295422,0.05389836888170152,0.04430845013545204,0.03402089825577459,0.002477601118436648,0.009731469621673245,0.0030093997136790146,0.019960621997401215,1.5880366435755863e-06,1.5016739981216296e-05,0.0024776643734629356,-0.009589918746249482,0.0029985783048134995,-0.01987747062592693,0.0010096090048613577,-0.010287551879677448,0.0006515035056509078,0.00122903345618397,0.004091550130397081,0.013236128725111485,True,True,-0.2178804852747576,0.20170431579728107,0.9530954330504571,-0.20661750931610734,0.20379893394114318,0.8991970641687556,-0.21999177243857768,0.20300083953943432,0.9436846417077766,-0.20661828621381864,0.20379754891755944,0.8993761915723245,-0.21982899593101118,0.20399773962622275,0.933362973906031,-0.20663244775326345,0.20380046546815778,0.8993420756502564
hdf5,4,demo_4,akita_black_bowl_1,glazed_rim_porcelain_ramekin_1,10,False,False,True,True,False,True,True,0.011456092379748331,0.013397196708136242,0.013198022613285645,0.05389836888166066,0.044308450135415955,0.03402089825574983,0.0024776011184394413,0.009731469621665798,0.0030093997136722323,0.019960621997384277,1.5880366436269508e-06,1.5016739981194348e-05,0.0024776643734657033,-0.009589918746244708,0.0029985783048066543,-0.01987747062591083,0.0010096090048371774,-0.010287551879666124,0.0005319875781424344,0.0010124911786988378,0.004357256460934877,0.013924728147685528,True,True,-0.21824847211582077,0.19522602202752445,0.9530954330504162,-0.20698549615718445,0.1973206401713655,0.8991970641687556,-0.22035975927963747,0.19652254576968856,0.9436846417077441,-0.2069862730548958,0.19731925514778173,0.8993761915723282,-0.22019698277207836,0.19751944585645384,0.9333629739060062,-0.20700043459434053,0.19732217169838015,0.8993420756502564
hdf5,5,demo_5,akita_black_bowl_1,glazed_rim_porcelain_ramekin_1,10,False,False,True,True,False,True,True,0.011456092379786042,0.013397196708185889,0.01319802261331179,0.053898368881721836,0.044308450135477906,0.03402089825580623,0.002477601118445576,0.009731469621671011,0.0030093997136812958,0.019960621997390363,1.5880366435513792e-06,1.5016739980872206e-05,0.002477664373471845,-0.00958991874624393,0.002998578304815734,-0.019877470625915605,0.001009609004869502,-0.010287551879671675,0.0006153752328827977,0.0015933569520711899,0.006036588456481695,0.023492977023124695,True,True,-0.20318964962647282,0.21002299972230912,0.9530954330504774,-0.19192667366780344,0.21211761786617866,0.8991970641687556,-0.20530093679030376,0.21131952346446176,0.9436846417078015,-0.19192745056551475,0.21211623284259495,0.8993761915723236,-0.2051381602827233,0.21231642355125643,0.9333629739060626,-0.19194161210495916,0.21211914939319368,0.8993420756502564
hdf5,6,demo_6,akita_black_bowl_1,glazed_rim_porcelain_ramekin_1,10,False,False,True,True,False,True,True,0.01145609237977732,0.013397196708173922,0.013198022613313253,0.0538983688817386,0.044308450135508215,0.034020898255809895,0.002477601118449407,0.009731469621658136,0.0030093997136667033,0.019960621997401114,1.5880366435755863e-06,1.5016739980736286e-05,0.002477664373475701,-0.009589918746230386,0.0029985783048013344,-0.019877470625928706,0.0010096090048285573,-0.01028755187969832,0.0005420826491899788,0.0008708562236279249,0.0049751922488212585,0.011200367473065853,True,True,-0.20501165284237283,0.19933849057875433,0.9530954330504942,-0.19374867688370798,0.2014331087226005,0.8991970641687556,-0.20712294000619863,0.20063501432092265,0.9436846417078326,-0.19374945378141928,0.20143172369901677,0.8993761915723244,-0.2069601634986292,0.2016319144076775,0.9333629739060663,-0.19376361532086359,0.20143464024961527,0.8993420756502564
hdf5,7,demo_7,akita_black_bowl_1,glazed_rim_porcelain_ramekin_1,10,False,False,True,True,False,True,True,0.01145609237981199,0.013397196708219473,0.013198022613337029,0.053898368881808656,0.04430845013556595,0.034020898255845866,0.0024776011184555486,0.009731469621679454,0.0030093997136886696,0.01996062199743867,1.588036643524222e-06,1.5016739980781577e-05,0.0024776643734818657,-0.00958991874624271,0.0029985783048230557,-0.01987747062596279,0.0010096090048750046,-0.01028755187972008,0.0005710253608413041,0.0009845669846981764,0.0033789121080189943,0.009319372475147247,True,True,-0.19963228923638315,0.2006274589707072,0.9530954330505648,-0.18836931327768808,0.20272207711458046,0.8991970641687561,-0.2017435764002221,0.20192398271286582,0.9436846417078828,-0.18837009017539932,0.20272069209099675,0.8993761915723169,-0.20158079989263297,0.20292088279966475,0.9333629739061022,-0.1883842517148437,0.20272360864159567,0.8993420756502564
hdf5,8,demo_8,akita_black_bowl_1,glazed_rim_porcelain_ramekin_1,10,False,False,True,True,False,True,True,0.011456092379789942,0.01339719670819532,0.013198022613328373,0.05389836888174837,0.044308450135524424,0.0340208982558311,0.002477601118459158,0.009731469621654177,0.0030093997136683964,0.019960621997390064,1.5880366435755863e-06,1.5016739980557164e-05,0.0024776643734854527,-0.009589918746223947,0.002998578304803047,-0.01987747062591727,0.0010096090048258629,-0.010287551879693324,0.00048068739124573767,0.0007497924380004406,0.0035744167398661375,0.007674777880311012,True,True,-0.19901527538815447,0.19544898663875301,0.9530954330505039,-0.18775229942947572,0.19754360478259345,0.8991970641687556,-0.20112656255198846,0.19674551038092664,0.943684641707849,-0.18775307632718702,0.1975422197590097,0.8993761915723246,-0.20096378604441176,0.19774241046767763,0.9333629739060875,-0.18776723786663113,0.19754513630960835,0.8993420756502564
hdf5,9,demo_9,akita_black_bowl_1,glazed_rim_porcelain_ramekin_1,10,False,False,True,True,False,True,True,0.011456092379759544,0.013397196708151081,0.013198022613295066,0.05389836888169852,0.0443084501354617,0.03402089825577581,0.0024776011184441268,0.009731469621661194,0.0030093997136656785,0.019960621997395032,1.5880366435755863e-06,1.5016739980836104e-05,0.002477664373470422,-0.009589918746236825,0.002998578304800128,-0.01987747062592271,0.0010096090048282642,-0.010287551879685886,0.0005893135676160455,0.0013431691331788898,0.006253628525882959,0.01865818165242672,True,True,-0.2163346549568505,0.20355135152925283,0.9530954330504541,-0.2050716789982033,0.2056459696730967,0.8991970641687556,-0.21844594212067112,0.2048478752714195,0.943684641707788,-0.2050724558959146,0.20564458464951296,0.8993761915723263,-0.2182831656131064,0.20584477535817505,0.9333629739060322,-0.205086617435359,0.20564750120011163,0.8993420756502564
